course_code,course_title,credits_count,description,requisites,time_and_place_list,location,honors,offered_main_campus_fall,offered_main_campus_spring,offered_main_campus_even_year,offered_main_campus_odd_year
BUS-4253,Business Law and Ethics,3,"Basic legal principles that govern modern business transactions. Topics include contracts, real and personal property, agencies, employment, business formation, and Uniform Commercial Code. Emphasis on organizational ethics and compliance.",None,"Main Campus, Fall and Spring, Each Year, Online, Spring A, Summer B, Each Year","Main Campus, Online",0,0,0,0,0
BUS-4993,Strategic Management,3,"An integrative study of business context and policy focused on the designing, evaluating, and defending of various business strategies based on current and historical cases from a variety of organizations. This is a capstone course open only to seniors in the College of Business.",Senior standing - Must be completed prior to taking this course.,"Main Campus, Fall and Spring, Each Year, Online, Fall A, Spring A, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,0,0,0,0
CM-1223,Graphic Communication Skills,3,"The study and practice of communicating ideas through manual and digital means. Emphases include the development of communication through construction documents, an introduction to construction assemblies and an overview of three-dimensional model based design, and construction documentation. Two three-hour laboratory periods per week.",CM 1223L - Must be taken at the same time as this course.,"Spring Semester, Each Year",Main Campus,0,0,0,0,0
CM-2511,Surveying,1,A study of the fundamentals of measuring techniques as they relate to leveling and construction layout. Emphasis is given to the care and use of optical and electronic instruments. Thirty laboratory hours per semester. An additional fee may be associated with this course.,MTH 1122 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,0,0,0,0
CM-3132,Structural Sys for Bldngs,2,"A study of the design of steel structural elements typically found in buildings and a consideration of steel erection procedures. Also, the study of the design and control of concrete mixtures, the design of simple reinforced concrete structural elements, and the study of basic temporary structures (shoring, scaffolding, form-work) that will be encountered on typical construction projects. Two hours lecture-discussion per week. This lecture must be taken with CM 3231.","CM-2322 - Must be completed prior to taking this course., CM 3231 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,0,0,0
CM-3231,Structural Sys for Bldngs Lab,1,"A study of the design of steel structural elements typically found in buildings and a consideration of steel erection procedures. Also, the study of the design and control of concrete mixtures, the design of simple reinforced concrete structural elements, and the study of basic temporary structures (shoring, scaffolding, form-work) that will be encountered on typical construction projects. One two-hour laboratory period per week. This lab must be taken with CM 3132. An additional fee may be associated with this course.","CM 2322 - Must be completed prior to taking this course., CM 3132 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,0,0,0
CS-1113,Intro To Computing,3,"An introduction to algorithmic problem-solving in the context of a modern programming language such as C++. Such topics as problem-solving strategies, basic data structures, file input and output, data and procedural abstraction, and algorithm complexity are discussed. An additional fee may be associated with this course.",None,"Main Campus, Fall Semester, Each Year, Online, Summer B, Each Year","Main Campus, Online",0,1,0,1,1
CS-1233,Object-Oriented Programming,3,"The course introduces basic programming concepts, collections, and object-oriented analysis and design. Object-oriented concepts like abstraction, polymorphism, inheritance, and encapsulation are covered in detail with hands-on experience in programming and problem-solving with practical applications. Usage of Python packages and libraries for solving advanced real-time problems will also be covered. Students will have hands-on programming experience through lab sessions and team projects. An additional fee may be associated with this course.",None,"Main Campus, Fall Semester, Each Year",Main Campus,0,1,0,1,1
CS-1513,Java Programming,3,"This course covers core Java and provides hands-on experience to develop Java applications with object-oriented programming principles, interfaces, and GUIs. Java is a widely used cross-platform software development language, utilized primarily in web-based problem solving, data-driven applications, and scientific software products. An additional fee may be associated with this course.",CS 1233 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0,1,1,1
CS-2173,Computer Networking,3,"The internet is the major driving force in making the world stay connected. The connectivity of different types of networks across the globe makes this possible with numerous protocols, topologies, and technologies. This course mainly focuses on network protocols, layered structures of networks, routing, network performance, and advanced topics on Bluetooth, WIFI, and cloud networking technologies. In addition to learning all the theory components of network architectures and communications across networks, students will gain experience in solving simple tasks using network programming. An additional fee may be associated with this course.",CS 1233 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,1,0,1,1
CS-2243,Data Structures and Algorithms,3,"This course primarily focuses on several models of data structures along with their application in software programs. The concepts, data structures, and their functionalities are implemented using a modern programming language. This course is a good foundation for algorithm development, helping to build efficient applications. The course will emphasize both conceptual understanding and practical laboratory work. An additional fee may be associated with this course.","CS 1113 or CS 1233; and either MTH 1153, MTH 2113, or MTH 2114 - Must be completed prior to taking this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,1,1,1
CS-2423,Web Applications,3,"An introductory course to web programming, using web technologies HTML5, JS, PHP, MySQL, AJAX, JQeury, and designing web applications. This course focuses on introducing HTML5, CSS, and Javascript that will be used for web application development. Advanced interactive web programming using PHP and MySQL will be introduced to help the student to design and develop a functional web application. The course introduces basic design constructs, concepts, and skills in developing web applications. Once the student has acquired hands-on experience in designing and developing software products, they will be able to create solutions to the needs of the IT industry and worldwide businesses that rely upon software systems. An additional fee may be associated with this course.",CS 1233 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0,1,1,1
CS-2823,C# & dotNET,3,"This course is a study of the C# (C Sharp) programming language within the DotNET Framework. This teaches the position of DotNET in software development, the creation of DotNET applications, database integration by applying built-in DotNET libraries/classes, and developing and applying user-defined classes in applications using C#. This course introduces how C# programming uses object-oriented programming principles. Emphasis is placed on event-driven programming methods, including creating/manipulating objects/classes and using object-oriented tools such as the class debugger. Upon completion, students will be able to design, code, test, debug, and implement objects using the appropriate environment. An additional fee may be associated with this course.",CS 1233 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,1,0,1,1
CS-3213,Computer Architecture & OS,3,"This course introduces operating system topics like processes, threads, CPU scheduling, disk operations, caching, memory management, synchronization, deadlock, and storage mechanisms. Topics will include kernel interfacing to user interfaces, services, memory, terminals, and networking. Advanced topics like multiprocessor and distributed operating systems will also be discussed. An additional fee may be associated with this course.",EE 2212 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,1,0,1,1
CS-3363,Database Design,3,"This is an introductory course in database modeling and designing database schemas for software applications. This course begins with basic concepts in database systems, data and schema modeling, and writing SQL queries. The course introduces some important concepts in data storage, query optimization, and concurrency control. A few flavors of database systems are introduced and some advanced concepts like Bigdata, OODB, and Blockchain are also discussed. An additional fee may be associated with this course.",CS 2243 or CS 3243 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,1,0,1,1
CS-3443,Machine Learning,3,"This course provides a practical, hands-on introduction to machine learning. A variety of machine learning approaches will be discussed. These approaches may include linear regression, gradient descent, neural networks, reinforcement learning and/or other algorithms. The course contains a significant practical component, including several programming projects where students implement particular machine learning approaches. An additional fee may be associated with this course.","CS 1113 or CS 1233; and either MTH 1153, MTH 2113 or MTH 2114 - Must be completed prior to taking this course.","Main Campus, Spring Semester, Even Year",Main Campus,0,0,1,1,1
CS-3533,Software Engineering,3,"An essential course in preparing the student for a role in software design and development. This engineering course covers the disciplined processes involved in software application/product development life-cycle - the analysis, design, construction, testing, and deployment. The focus will be on the practical aspects in preparing requirements specifications, drafting design diagrams, coding using any programming language of choice, and validating the developed product using industry-standard testing frameworks. The student will develop a software application/product incorporating all the engineering activities learned in this course. An additional fee may be associated with this course.",CS 2423 and CS 3363 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0,1,1,1
CS-3643,Artificial Intelligence,3,"This course provides an introduction to artificial intelligence concepts such as AI Agents, logical programming, rules and facts, knowledge representation and reasoning, and decision making. Applications may include algorithms for robotics, expert systems, intelligent systems, chatbots, and recommendation systems. An additional fee may be associated with this course.","CS 1113 or CS 1233; and either MTH 1153, MTH 2113, or MTH 2114 - Must be completed prior to taking this course.","Main Campus, Fall Semester, Odd Year",Main Campus,0,1,0,0,1
CS-3773,Big Data & Cloud Computing,3,"This is an introductory course that primarily deals with Big Data and Cloud Computing concepts. The course begins with Big Data Architecture and frameworks like Hadoop Framework, Hive, and Spark. The application development frameworks, architecting the cloud, cloud services, and managing data in the cloud are the concepts that will be covered in the Cloud Computing part of the course. An additional fee may be associated with this course.",CS 2423 or CS 3423 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Even Year",Main Campus,0,1,0,1,0
CS-4023,Advanced Computing Concepts,3,"This course deals with some of the advanced topics in AI and ML specializations. Topics covered include neural networks, computer vision, natural language processing, IoT fundamentals, and knowledge engineering. Real-world and research problem solving using these technologies will be covered through hands-on experiences and project sessions. An additional fee may be associated with this course.",CS 3443 or CS 3643 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Odd Year",Main Campus,0,0,1,0,1
CYB-7103,Cybersecurity Foundations,3,"The course will provide students with an overview of various cybersecurity concepts. We begin by exploring the history, terminology, and need for security, then navigate through ethical, legal and professional issues. We introduce numerous security technologies and their importance. The overview ends with discussions on planning, risk management, and implementing information security.",None,"Fall A, Spring A, Each Year",Online,0,0,0,0,0
ED-3563,Sec Lang Acquisition for Tchrs,3,"A study of major theories in second language acquisition, with emphasis on contrastive principles of first and second language development. Special attention is given to second language acquisition implications in K-12 classrooms with culturally and linguistically diverse learners. Candidates are introduced to the dynamics of the educational process and the social, cultural, and economic considerations, which affect second language development. Field experience required.",None,"Fall Semester, Each Year","Main Campus, Off-Campus",0,0,0,0,0
EE-2211,Digital Electronics Lab,1,"This course introduces digital circuit analysis and design. Topics include combinational logic circuits, sequential logic circuits, integrated circuits, and computer architecture. The course includes a significant design component. One two-hour laboratory per week. This lab must be taken with EE 2212. An additional fee may be associated with this course.",EE 2212 - Must be taken at the same time as this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0,1,1,1
EE-2212,Digital Electronics,2,"This course introduces digital circuit analysis and design. Topics include combinational logic circuits, sequential logic circuits, integrated circuits, and computer architecture. The course includes a significant design component. Two hours lecture-discussion per week. This lab must be taken with EE 2211.",EE 2211 - Must be taken at the same time as this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0,1,1,1
EE-2221,Electrical Circuits Lab,1,"An introductory course in electrical circuits and electronics. Topics include basic circuit analysis, electric power, and semiconductor devices such as diodes, rectifiers, and operational amplifiers. One two-hour laboratory per week. This lab must be taken with EE 2222. An additional fee may be associated with this course.","EN 1322 - Must be completed prior to taking this course., EE 2222 - Must be taken at the same time as this course.","Main Campus, Fall Semester, Each Year",Main Campus,0,0,0,0,0
EE-2222,Electrical Circuits,2,"An introductory course in electrical circuits and electronics. Topics include basic circuit analysis, electric power, and semiconductor devices such as diodes, rectifiers, and operational amplifiers. Two hours lecture-discussion per week. This lecture must be taken with EE 2221.","EN 1322 - Must be completed prior to taking this course., EE 2221 - Must be taken at the same time as this course.","Main Campus, Fall Semester, Each Year",Main Campus,0,0,0,0,0
EE-3123,Embedded Systems,3,"An introduction to the design of embedded systems including their hardware and software architectures, design methodologies and tools, and communication protocols. Three hours lecture-discussion per week. An additional fee may be associated with this course.",CS 1113 or CS 1233 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,0,0,0,0
EE-3173,RE/Electric Power Engineering,3,"An introductory course to renewable energy (RE) power systems. This course focuses on photovoltaics (PV) and wind power systems and introduces quantitative analysis methodologies and software for estimating the output electric power of RE systems. Topics include off-grid and grid-connected PV/wind power systems, energy efficiency, energy storage, microgrids, and smart grids. Three hours lecture-discussion per week. An additional fee may be associated with this course.",EE 2221 and EE 2222 - Must be completed prior to taking this course.,"Spring Semester, Odd Year",Main Campus,0,0,0,0,0
EGL-2393,Advanced Composition,3,An advanced course in composition for English and Education majors in which rhetorical skills are developed and refined in the practice of writing thesis-driven literary analyses and researched arguments in MLA format. Multiple stages of revision through group work and peer review are a key component of the course.,EGL 1023 - Must be completed prior to taking this course.,"Fall Semester, Each Year","Main Campus, Online, Off-Campus",0,0,0,0,0
EGL-3341,Publishing Practicum,1,"Students gain hands-on experience in publishing through the production of John Brown University's yearly literary and visual arts journal, Shards of Light . Under the supervision of a faculty sponsor, students will serve as the journal's staff and oversee all parts of the publication process: solicitation, selection, revision, and copyediting of submissions; advertising and distribution; and general problem-solving. May be repeated for credit.",COR 1002 - Must be taken either prior to or at the same time as this course.,"Fall and Spring, Each Year",Main Campus,0,0,0,0,0
EN-1112,"Intro to Eng, CS, & Cyber",2,"The first course in engineering, computer science, and cybersecurity involving design concepts and processes. Two hours lecture-discussion per week. Includes an electrical/mechanical/programming design project. An additional fee may be associated with this course.",None,"Fall Semester, Each Year",Main Campus,0,1,0,1,1
EN-1121,Prod Techniques Lab,1,"Basic training in the areas of welding, metal fabrication, and machine tools. Two 1.5-hour laboratory periods per week. An additional fee may be associated with this course.",None,Upon Sufficient Request,Main Campus,0,0,0,0,0
EN-1141,Intro to CNC Machining,1,Basic training in the areas of CNC machining. Two 1.5-hour laboratory periods per week. An additional fee may be associated with this course.,EN 1112 - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0,0,0,0
EN-1151,Introduction to PLCs,1,Basic training in programmable logic controllers (PLCs). Two 1.5-hour laboratory periods per week. An additional fee may be associated with this course.,EN 1112 - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0,0,0,0
EN-1221,Concepts in Mech Engr Lab,1,"A gateway into the dynamic world of mechanical engineering, offering students a comprehensive introduction to the fundamental principles, theories, and applications in this diverse field. Designed for both aspiring engineers and those curious about the discipline, this course covers a wide array of topics, including statics, materials science, fluid mechanics, thermodynamics, dynamics, and design principles. Through a combination of theoretical knowledge and hands-on experiments, students will gain a strong foundation in mechanical engineering and its pivotal role in shaping modern technology and innovation. One two-hour laboratory period per week. This lab must be taken with EN 1222. An additional fee may be associated with this course.","MTH 1163 - Must be completed prior to taking this course., EN 1222 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,0,0,0
EN-1222,Concepts in Mech Engineering,2,"A gateway into the dynamic world of mechanical engineering, offering students a comprehensive introduction to the fundamental principles, theories, and applications in this diverse field. Designed for both aspiring engineers and those curious about the discipline, this course covers a wide array of topics, including statics, materials science, fluid mechanics, thermodynamics, dynamics, and design principles. Through a combination of theoretical knowledge and hands-on experiments, students will gain a strong foundation in mechanical engineering and its pivotal role in shaping modern technology and innovation. Two hours lecture-discussion per week. This lecture must be taken with EN 1221.","MTH 1163 - Must be completed prior to taking this course., EN 1221 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,0,0,0
EN-1321,Concepts in Elec Engr Lab,1,"An introduction to electrical circuits: Ohm's Law, Kirchoff's Laws, Thevenin and Norton equivalent circuits, superposition, resistors, capacitors, inductors, and operational amplifiers. One two-hour laboratory per week. This lab must be taken with EN 1322. An additional fee may be associated with this course.","MTH 1163 - Must be completed prior to taking this course., EN 1322 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,0,0,0
EN-1322,Concepts in Elec Engineering,2,"An introduction to electrical circuits: Ohm's Law, Kirchoff's Laws, Thevenin and Norton equivalent circuits, superposition, resistors, capacitors, inductors, and operational amplifiers. Two hours lecture-discussion per week. This lecture must be taken with EN 1321.","MTH 1163 - Must be completed prior to taking this course., EN 1321 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,0,0,0
EN-1761,Selected Topics: Eng Lab,1,Basic laboratory training in a special area of engineering. Two 2-hour laboratory periods per week. An additional fee may be associated with this course.,None,Upon Sufficient Request,Main Campus,0,0,0,0,0
EN-3001,Selected Topics Lab,1,A study of a special area of engineering. May also be used as an independent study. An additional fee may be associated with this course.,None,"","",0,0,0,0,0
EN-3222,Collaborative Design Lab,2,Students work on design projects in a team context. Four hours laboratory per week. An additional fee may be associated with this course.,EE 2221 and EE 2222 plus ME 2561 and ME 2562; EE 2211 and EE 2212 plus CS 3363; or CS 2243 and CS 3363 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0,1,1,1
EN-3271,Cooperative Education,1,Supervised experience in industry where students apply classroom skills to problems specific to their discipline in a professional workplace setting. This course will be offered as an independent study course. An additional fee may be associated with this course.,None,"Main Campus, Upon Sufficient Request, Upon Sufficient Request",Main Campus,0,0,0,0,0
EN-3411,Linear Signals and Systems Lab,1,"This course provides a systematic introduction to continuous-time signals and systems with a focus on linear, time-invariant systems. The course begins by developing the necessary mathematical machinery to describe and analyze continuous-time signals. Then, systems are considered including their description using standard models, their properties, and how they respond to various input signals. The course culminates with a study of the Fourier transform and how Fourier techniques can be used to describe and analyze signals and systems in terms of frequency. These topics are widely applicable across many engineering disciplines. Applications include the analysis of vibrations in mechanical systems (e.g., jet engines) and the analysis of electrical signals (e.g., in communications). This course provides the mathematical foundation for further study of control theory and signal processing. One two-hour laboratory per week. This lab must be taken with EN 3412. An additional fee may be associated with this course.","CS 1113 or CS 1233; MTH 2113 or MTH 2114 - Must be completed prior to taking this course., EN 3412 - Must be taken at the same time as this course.","Main Campus, Fall Semester, Each Year",Main Campus,0,0,0,0,0
EN-3412,Linear Signals and Systems,2,"This course provides a systematic introduction to continuous-time signals and systems with a focus on linear, time-invariant systems. The course begins by developing the necessary mathematical machinery to describe and analyze continuous-time signals. Systems are then considered including their description using standard models, their properties, and how they respond to various input signals. The course culminates with a study of the Fourier transform and how Fourier techniques can be used to describe and analyze signals and systems in terms of frequency. These topics are widely applicable across many engineering disciplines. Applications include the analysis of vibrations in mechanical systems (e.g., jet engines) and the analysis of electrical signals (e.g., in communications). This course provides the mathematical foundation for further study of control theory and signal processing. Two hours lecture-discussion per week. This lecture must be taken with EN 3411.","CS 1113 or CS 1233; MTH 2113 or MTH 2114 - Must be completed prior to taking this course., EN 3411 - Must be taken at the same time as this course.","Main Campus, Fall Semester, Each Year",Main Campus,0,0,0,0,0
EN-3421,Control Systems Lab,1,"This course explores the modeling, analysis, and design of linear time-invariant control systems. Topics include stability, transient responses, steady-state errors, and the design of compensators and controllers. One two-hour laboratory per week. This lab must be taken with EN 3422. An additional fee may be associated with this course.","EE 2221 and EE 2222; EN 3411 and EN 3412 - Must be completed prior to taking this course., EN 3422 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,0,0,0
EN-3422,Control Systems,2,"This course explores the modeling, analysis, and design of linear time-invariant control systems. Topics include stability, transient responses, steady-state errors, and the design of compensators and controllers. Two hours of lecture-discussion per week. This lecture must be taken with EN 3421.","EE 2221 and EE 2222; EN 3411 and EN 3412 - Must be completed prior to taking this course., EN 3421 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0,0,0,0
EN-3501,Selected Topics,1,A study of a special area of engineering. May also be used as an independent study. An additional fee may be associated with this course.,None,Upon Sufficient Request,Main Campus,0,0,0,0,0
EN-3502,Selected Topics,2,A study of a special area of engineering. May also be used as an independent study. An additional fee may be associated with this course.,None,Upon Sufficient Request,Main Campus,0,0,0,0,0
EN-3503,Selected Topics,3,A study of a special area of engineering. May also be used as an independent study. An additional fee may be associated with this course.,TBD based on selected topic - Must be completed prior to taking this course.,Upon Sufficient Request,"Main Campus, Off-Campus",0,0,0,0,0
EN-3503L,ST: Engineering Lab,0,Lab for EN 3503 Selected Topics.,None,Upon Sufficient Request,Main Campus,0,0,0,0,0
EN-3613,BME Applications 1,3,"A study of applications of engineering in the biomedical field. Topics covered include medical device regulations, biomechanics, biomaterials and biocompatibility, and bioinstrumentation. The course will cover background in anatomy and physiology of specific applications, the use of engineering principles in the design of medical devices as well as recent advances in pre-clinical medical research. An additional fee may be associated with this course.",EE 2222; ME 2562 or ME 3413 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Even Year",Main Campus,0,0,0,0,0
EN-3623,BME Applications 2,3,"Further study of applications of engineering in the biomedical field. Topics covered include biomedical imaging, tissue engineering, biomolecular techniques, and biomedical modeling. The course will cover background in anatomy and physiology of specific applications, the use of engineering principles in the design of medical devices as well as recent advances in preclinical medical research. An additional fee may be associated with this course.",EE 2221 and EE 2222; ME 2561 and ME 2562 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Odd Year",Main Campus,0,0,0,0,0
EN-3713,Robotics,3,"This course provides an introductory survey of fundamental topics for robotic mechanisms including mechanics, planning, and other selected topics. The course begins with an overview of configuration space and rigid-body motion. These topics provide the necessary mathematical framework for what follows: forward kinematics (how joint positions determine end-effector position and orientation), velocity kinematics and statics, and inverse kinematics (determining joint positions to achieve the desired end-effector configuration). The course concludes with selected topics based on student interest which may include kinematics of closed chains, dynamics of open chains, trajectory generation, motion planning, robot control, grasping and manipulation, and/or wheeled mobile robots. The course contains a practical project. Three hours lecture-discussion per week. An additional fee may be associated with this course.","CS 1113 and either MTH 1153, MTH 2113, or MTH 2114 - Must be completed prior to taking this course., EN 3421 and EN 3422 - Must be taken either prior to or at the same time as this course.","Main Campus, Spring Semester, Odd Year",Main Campus,0,0,0,0,0
EN-4113,Capstone I,3,"A study of specifications, feasibility, modeling, optimization methods, elements of professionalism, and economic analysis. Initiation of the senior design project with written and oral reporting of preliminary work. Three hours lecture-discussion per week. An additional fee may be associated with this course.",EN 3222 - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,1,0,1,1
EN-4123,Capstone II,3,"A capstone course to integrate previous learning experiences in problem formulation and solution. Includes the completion of the major design project initiated in Capstone I, with written and oral reporting of the work. Involves supervision of first-year students. Three hours lecture-discussion per week. An additional fee may be associated with this course.",EN 4113 - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0,1,1,1
EN-4693,Honors Contract in Engineering,3,"",None,Upon Sufficient Request,Main Campus,1,0,0,0,0
ENT-4993,Innovation Launch Lab,3,"A capstone course in which students take business ideas, develop prototypes, and design experiments for the next phase of validation. An additional fee may be associated with this course.",Senior standing - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,0,0,0,0
FIN-3003,Principles of Finance,3,"This course presents the basic concepts and tools of contemporary finance including the role of managerial finance, the financial market environment, financial statements and ratio analysis, cash flow and financial planning, the time value of money, interest rates, bond and stock valuation, and risk and return. Emphasis is placed on practical financial problem solving using financial formulas, a calculator, and Excel.",ATG 2173 - Must be completed prior to taking this course.,"Main Campus, Fall and Spring, Each Year, Online, Spring B, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,0,0,0,0
ICS-3133,Qualitative Research Methods,3,"A study of the design and methods of the Qualitative Research paradigm, to include phenomenology, ethnography, grounded theory, narrative inquiry and case study, as well as the fieldwork methods of participant-observation, interviewing and archival research. Students will design their own original research project.",None,"Spring Semester, Each Year","Main Campus, Off-Campus",0,0,0,0,0
ICS-3163,Geo-Cultural Studies,3,"Researching the history, geography, social structure, religious, and economic environments of specific countries to be visited by student teams.",None,Upon Sufficient Request,"Main Campus, Off-Campus",0,0,0,0,0
ICS-3171,Selected Topics,1,Investigation of subjects of specific interest and importance to the student preparing for specialized intercultural service. May be repeated for credit when content differs.,None,Upon Sufficient Request,"Main Campus, Off-Campus",0,0,0,0,0
ICS-3172,Selected Topics,2,Investigation of subjects of specific interest and importance to the student preparing for specialized intercultural service. May be repeated for credit when content differs.,None,Upon Sufficient Request,"Main Campus, Off-Campus",0,0,0,0,0
ICS-3173,Selected Topics,3,Investigation of subjects of specific interest and importance to the student preparing for specialized intercultural service. May be repeated for credit when content differs.,None,Upon Sufficient Request,"Main Campus, Off-Campus, Lakeside Manor",0,0,0,0,0
ICS-3243,Community Development,3,"An introduction to the basic principles and strategies of community development. Students learn how to facilitate community development in impoverished areas in such a way that faith and appropriate technology are joined together to reduce human drudgery, to alleviate poverty, and to contribute to a deeper understanding and effective application of spiritual truths. Emphasis is placed upon the developer's role as a facilitator of social change, the skills needed for facilitating social change, and an understanding of how communities adopt new ideas.",None,"Fall Semester, Even Year","Main Campus, Off-Campus, Lakeside Manor",0,0,0,0,0
ICS-3263,Thry/Prac Appropriate Tech I,3,"Appropriate Technology (AT) is a study of applying technologies relevant to the context or environment in which they will be used. Emphasis is placed on applying technologies of housing and construction, energy, food production, land management, manufacturing, and health and sanitation to community development projects.",None,"Off-Campus, Summer, Each Year",Off-Campus,0,0,0,0,0
