course_code,course_title,credits_count,description,requisites,time_and_place_list,location,honors,core
BUS-4993,Strategic Management,3,"An integrative study of business context and policy focused on the designing, evaluating, and defending of various business strategies based on current and historical cases from a variety of organizations. This is a capstone course open only to seniors in the College of Business.",Senior standing - Must be completed prior to taking this course.,"Main Campus, Fall and Spring, Each Year, Online, Fall A, Spring A, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,0
CHM-1121,General Chemistry I Lab,1,"A systematic study of basic chemical principles and properties that govern matter and its changes. Topics include the basic structure of atoms and molecules, chemical and physical properties, balancing chemical equations, and bonds. One two-hour laboratory per week. Meets one hour of the Natural Science with lab requirement of the Core Curriculum. This lab must be taken with CHM 1123. An additional fee may be associated with this course.","Minimum ACT math score of 24, or minimum SAT math score of 580, or CLT math score of at least 21, or MTH 1113 - Must be completed prior to taking this course., CHM 1123 - Must be taken at the same time as this course.","Main Campus, Fall Semester, Each Year",Main Campus,0,1
CHM-1123,General Chemistry I,3,"This course is a systematic study of basic chemical principles and properties that govern matter and its changes. Topics include the basic structure of atoms and molecules, chemical and physical properties, balancing chemical equations, and bonds. Three hours lecture-discussion per week. This course meets three hours of the Natural Science with lab requirement of the Core Curriculum. This lecture must be taken with CHM 1121.","Minimum ACT math score of 24, or minimum SAT math score of 580, or CLT math score of at least 21, or MTH 1113 - Must be completed prior to taking this course., CHM 1121 - Must be taken at the same time as this course.","Main Campus, Fall Semester, Each Year",Main Campus,0,1
CM-1223,Graphic Communication Skills,3,"The study and practice of communicating ideas through manual and digital means. Emphases include the development of communication through construction documents, an introduction to construction assemblies and an overview of three-dimensional model based design, and construction documentation. Two three-hour laboratory periods per week.",CM 1223L - Must be taken at the same time as this course.,"Spring Semester, Each Year",Main Campus,0,0
CM-2511,Surveying,1,A study of the fundamentals of measuring techniques as they relate to leveling and construction layout. Emphasis is given to the care and use of optical and electronic instruments. Thirty laboratory hours per semester. An additional fee may be associated with this course.,MTH 1122 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,0
CM-3132,Structural Sys for Bldngs,2,"A study of the design of steel structural elements typically found in buildings and a consideration of steel erection procedures. Also, the study of the design and control of concrete mixtures, the design of simple reinforced concrete structural elements, and the study of basic temporary structures (shoring, scaffolding, form-work) that will be encountered on typical construction projects. Two hours lecture-discussion per week. This lecture must be taken with CM 3231.","CM-2322 - Must be completed prior to taking this course., CM 3231 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0
CM-3231,Structural Sys for Bldngs Lab,1,"A study of the design of steel structural elements typically found in buildings and a consideration of steel erection procedures. Also, the study of the design and control of concrete mixtures, the design of simple reinforced concrete structural elements, and the study of basic temporary structures (shoring, scaffolding, form-work) that will be encountered on typical construction projects. One two-hour laboratory period per week. This lab must be taken with CM 3132. An additional fee may be associated with this course.","CM 2322 - Must be completed prior to taking this course., CM 3132 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0
CS-1113,Intro To Computing,3,"An introduction to algorithmic problem-solving in the context of a modern programming language such as C++. Such topics as problem-solving strategies, basic data structures, file input and output, data and procedural abstraction, and algorithm complexity are discussed. An additional fee may be associated with this course.",None,"Main Campus, Fall Semester, Each Year, Online, Summer B, Each Year","Main Campus, Online",0,0
CS-1233,Object-Oriented Programming,3,"The course introduces basic programming concepts, collections, and object-oriented analysis and design. Object-oriented concepts like abstraction, polymorphism, inheritance, and encapsulation are covered in detail with hands-on experience in programming and problem-solving with practical applications. Usage of Python packages and libraries for solving advanced real-time problems will also be covered. Students will have hands-on programming experience through lab sessions and team projects. An additional fee may be associated with this course.",None,"Main Campus, Fall Semester, Each Year",Main Campus,0,0
CS-1513,Java Programming,3,"This course covers core Java and provides hands-on experience to develop Java applications with object-oriented programming principles, interfaces, and GUIs. Java is a widely used cross-platform software development language, utilized primarily in web-based problem solving, data-driven applications, and scientific software products. An additional fee may be associated with this course.",CS 1233 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0
CS-2173,Computer Networking,3,"The internet is the major driving force in making the world stay connected. The connectivity of different types of networks across the globe makes this possible with numerous protocols, topologies, and technologies. This course mainly focuses on network protocols, layered structures of networks, routing, network performance, and advanced topics on Bluetooth, WIFI, and cloud networking technologies. In addition to learning all the theory components of network architectures and communications across networks, students will gain experience in solving simple tasks using network programming. An additional fee may be associated with this course.",CS 1233 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,0
CS-2243,Data Structures and Algorithms,3,"This course primarily focuses on several models of data structures along with their application in software programs. The concepts, data structures, and their functionalities are implemented using a modern programming language. This course is a good foundation for algorithm development, helping to build efficient applications. The course will emphasize both conceptual understanding and practical laboratory work. An additional fee may be associated with this course.","CS 1113 or CS 1233; and either MTH 1153, MTH 2113, or MTH 2114 - Must be completed prior to taking this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0
CS-2423,Web Applications,3,"An introductory course to web programming, using web technologies HTML5, JS, PHP, MySQL, AJAX, JQeury, and designing web applications. This course focuses on introducing HTML5, CSS, and Javascript that will be used for web application development. Advanced interactive web programming using PHP and MySQL will be introduced to help the student to design and develop a functional web application. The course introduces basic design constructs, concepts, and skills in developing web applications. Once the student has acquired hands-on experience in designing and developing software products, they will be able to create solutions to the needs of the IT industry and worldwide businesses that rely upon software systems. An additional fee may be associated with this course.",CS 1233 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0
CS-2823,C# & dotNET,3,"This course is a study of the C# (C Sharp) programming language within the DotNET Framework. This teaches the position of DotNET in software development, the creation of DotNET applications, database integration by applying built-in DotNET libraries/classes, and developing and applying user-defined classes in applications using C#. This course introduces how C# programming uses object-oriented programming principles. Emphasis is placed on event-driven programming methods, including creating/manipulating objects/classes and using object-oriented tools such as the class debugger. Upon completion, students will be able to design, code, test, debug, and implement objects using the appropriate environment. An additional fee may be associated with this course.",CS 1233 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,0
CS-3213,Computer Architecture & OS,3,"This course introduces operating system topics like processes, threads, CPU scheduling, disk operations, caching, memory management, synchronization, deadlock, and storage mechanisms. Topics will include kernel interfacing to user interfaces, services, memory, terminals, and networking. Advanced topics like multiprocessor and distributed operating systems will also be discussed. An additional fee may be associated with this course.",EE 2212 - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
CS-3363,Database Design,3,"This is an introductory course in database modeling and designing database schemas for software applications. This course begins with basic concepts in database systems, data and schema modeling, and writing SQL queries. The course introduces some important concepts in data storage, query optimization, and concurrency control. A few flavors of database systems are introduced and some advanced concepts like Bigdata, OODB, and Blockchain are also discussed. An additional fee may be associated with this course.",CS 2243 or CS 3243 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,0
CS-3443,Machine Learning,3,"This course provides a practical, hands-on introduction to machine learning. A variety of machine learning approaches will be discussed. These approaches may include linear regression, gradient descent, neural networks, reinforcement learning and/or other algorithms. The course contains a significant practical component, including several programming projects where students implement particular machine learning approaches. An additional fee may be associated with this course.","CS 1113 or CS 1233; and either MTH 1153, MTH 2113 or MTH 2114 - Must be completed prior to taking this course.","Main Campus, Spring Semester, Even Year",Main Campus,0,0
CS-3533,Software Engineering,3,"An essential course in preparing the student for a role in software design and development. This engineering course covers the disciplined processes involved in software application/product development life-cycle - the analysis, design, construction, testing, and deployment. The focus will be on the practical aspects in preparing requirements specifications, drafting design diagrams, coding using any programming language of choice, and validating the developed product using industry-standard testing frameworks. The student will develop a software application/product incorporating all the engineering activities learned in this course. An additional fee may be associated with this course.",CS 2423 and CS 3363 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0
CS-3643,Artificial Intelligence,3,"This course provides an introduction to artificial intelligence concepts such as AI Agents, logical programming, rules and facts, knowledge representation and reasoning, and decision making. Applications may include algorithms for robotics, expert systems, intelligent systems, chatbots, and recommendation systems. An additional fee may be associated with this course.","CS 1113 or CS 1233; and either MTH 1153, MTH 2113, or MTH 2114 - Must be completed prior to taking this course.","Main Campus, Fall Semester, Odd Year",Main Campus,0,0
CS-3743,Adv Computer Programming,3,"An introduction to principles of software engineering, data structures and algorithms, and user interfaces, in the context of modern object-oriented programming languages such as C# and ASP.NET. An additional fee may be associated with this course.",CS 1113 - Must be completed prior to taking this course.,"Main Campus, Upon Sufficient Request, Upon Sufficient Request",Main Campus,0,0
CS-3773,Big Data & Cloud Computing,3,"This is an introductory course that primarily deals with Big Data and Cloud Computing concepts. The course begins with Big Data Architecture and frameworks like Hadoop Framework, Hive, and Spark. The application development frameworks, architecting the cloud, cloud services, and managing data in the cloud are the concepts that will be covered in the Cloud Computing part of the course. An additional fee may be associated with this course.",CS 2423 or CS 3423 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Even Year",Main Campus,0,0
CS-4023,Advanced Computing Concepts,3,"This course deals with some of the advanced topics in AI and ML specializations. Topics covered include neural networks, computer vision, natural language processing, IoT fundamentals, and knowledge engineering. Real-world and research problem solving using these technologies will be covered through hands-on experiences and project sessions. An additional fee may be associated with this course.",CS 3443 or CS 3643 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Odd Year",Main Campus,0,0
CYB-7103,Cybersecurity Foundations,3,"The course will provide students with an overview of various cybersecurity concepts. We begin by exploring the history, terminology, and need for security, then navigate through ethical, legal and professional issues. We introduce numerous security technologies and their importance. The overview ends with discussions on planning, risk management, and implementing information security.",None,"Fall A, Spring A, Each Year",Online,0,0
ECN-2113,Prin of Microeconomics,3,"A study of markets and how supply and demand interact to direct the allocation of resources. Topics include market structures, the role of competition, price theory, output determination, and income distribution. Market failure and policy responses to problems such as pollution and poverty are also considered. Meets the Social and Behavioral Sciences requirement of the Core Curriculum.",None,"Main Campus, Fall Semester, Each Year, Online, Fall A, Spring A, Each Year","Main Campus, Online",0,1
ECN-2123,Prin of Macroeconomics,3,"A study of the determinants of national output and employment levels, the monetary system, and public policy for economic growth and stabilization. Inflation, unemployment, productivity, economic growth, balance of payments, and the public debt are considered from the perspectives of various schools of thought. Meets the Social and Behavioral Sciences requirement of the Core Curriculum.",ECN 2113 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year, Online, Fall B, Spring B, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,1
ECN-4103,International Economics,3,"A study of the global economy with emphasis on the role of the United States. Topics include trade theory, trade restrictions, monetary systems, exchange rates, and the effect of domestic economic policies on global trade. Trade issues such as trade deficits, job displacement, economic sanctions, emerging nations, environmental issues, immigration, and currency crises are covered. Meets the Social and Behavioral Sciences requirement of the Core Curriculum.",ECN 2123 - Must be completed prior to taking this course.,"Fall Semester, Even Year",Main Campus,0,1
ECN-4423,Economic Growth & Dev,3,"A survey of the major economic and social challenges facing developing nations. Traditional and contemporary models of growth and development are studied, with an emphasis on the problems related to poverty, population growth, urbanization, health, and education. Consideration is given to the global context for economic development, especially relating to international trade and foreign aid. Meets the Social and Behavioral Sciences requirement of the Core Curriculum.",ECN 2123 - Must be completed prior to taking this course.,"Fall Semester, Odd Year",Main Campus,0,1
ED-3563,Sec Lang Acquisition for Tchrs,3,"A study of major theories in second language acquisition, with emphasis on contrastive principles of first and second language development. Special attention is given to second language acquisition implications in K-12 classrooms with culturally and linguistically diverse learners. Candidates are introduced to the dynamics of the educational process and the social, cultural, and economic considerations, which affect second language development. Field experience required.",None,"Fall Semester, Each Year","Main Campus, Off-Campus",0,0
EE-2211,Digital Electronics Lab,1,"This course introduces digital circuit analysis and design. Topics include combinational logic circuits, sequential logic circuits, integrated circuits, and computer architecture. The course includes a significant design component. One two-hour laboratory per week. This lab must be taken with EE 2212. An additional fee may be associated with this course.",EE 2212 - Must be taken at the same time as this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0
EE-2212,Digital Electronics,2,"This course introduces digital circuit analysis and design. Topics include combinational logic circuits, sequential logic circuits, integrated circuits, and computer architecture. The course includes a significant design component. Two hours lecture-discussion per week. This lab must be taken with EE 2211.",EE 2211 - Must be taken at the same time as this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0
EE-2221,Electrical Circuits Lab,1,"An introductory course in electrical circuits and electronics. Topics include basic circuit analysis, electric power, and semiconductor devices such as diodes, rectifiers, and operational amplifiers. One two-hour laboratory per week. This lab must be taken with EE 2222. An additional fee may be associated with this course.","EN 1322 - Must be completed prior to taking this course., EE 2222 - Must be taken at the same time as this course.","Main Campus, Fall Semester, Each Year",Main Campus,0,0
EE-2222,Electrical Circuits,2,"An introductory course in electrical circuits and electronics. Topics include basic circuit analysis, electric power, and semiconductor devices such as diodes, rectifiers, and operational amplifiers. Two hours lecture-discussion per week. This lecture must be taken with EE 2221.","EN 1322 - Must be completed prior to taking this course., EE 2221 - Must be taken at the same time as this course.","Main Campus, Fall Semester, Each Year",Main Campus,0,0
EE-3123,Embedded Systems,3,"An introduction to the design of embedded systems including their hardware and software architectures, design methodologies and tools, and communication protocols. Three hours lecture-discussion per week. An additional fee may be associated with this course.",CS 1113 or CS 1233 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year",Main Campus,0,0
EE-3173,RE/Electric Power Engineering,3,"An introductory course to renewable energy (RE) power systems. This course focuses on photovoltaics (PV) and wind power systems and introduces quantitative analysis methodologies and software for estimating the output electric power of RE systems. Topics include off-grid and grid-connected PV/wind power systems, energy efficiency, energy storage, microgrids, and smart grids. Three hours lecture-discussion per week. An additional fee may be associated with this course.",EE 2221 and EE 2222 - Must be completed prior to taking this course.,"Spring Semester, Odd Year",Main Campus,0,0
EGL-2273,Intro to Creative Writing,3,"This course will provide a forum for beginning writers to acquaint themselves with and explore the conventions of poetry, short fiction, and creative nonfiction. Students will read widely and write extensively, learning to appreciate the creative process and developing a vocabulary for the craft. Meets the Arts and Humanities requirement of the Core Curriculum.",None,"Spring Semester, Each Year","Main Campus, Online",0,1
EGL-2393,Advanced Composition,3,An advanced course in composition for English and Education majors in which rhetorical skills are developed and refined in the practice of writing thesis-driven literary analyses and researched arguments in MLA format. Multiple stages of revision through group work and peer review are a key component of the course.,EGL 1023 - Must be completed prior to taking this course.,"Fall Semester, Each Year","Main Campus, Online, Off-Campus",0,0
EGL-2483,Selected Topics in Genre,3,"In-depth study of a literary topic of interest in a given genre or subgenre. Topics vary each semester and might include such courses as C.S. Lewis and the Inklings, Detective Fiction, and the Poetry of War but will include focus on genotypical elements of the literature under discussion. May be repeated for credit when content differs. Meets the Arts and Humanities requirement of the Core Curriculum.",EGL 1023 or EGL 1093 - Must be completed prior to taking this course.,"Fall and Spring, Each Year","Main Campus, Off-Campus, Lakeside Manor",0,1
EGL-3341,Publishing Practicum,1,"Students gain hands-on experience in publishing through the production of John Brown University's yearly literary and visual arts journal, Shards of Light . Under the supervision of a faculty sponsor, students will serve as the journal's staff and oversee all parts of the publication process: solicitation, selection, revision, and copyediting of submissions; advertising and distribution; and general problem-solving. May be repeated for credit.",COR 1002 - Must be taken either prior to or at the same time as this course.,"Fall and Spring, Each Year",Main Campus,0,0
EGL-4473,Crtve Wrtng Wrkshp: Sel Genres,3,"Study of and practice in a designated genre or subgenre of creative writing, such as poetry, fiction, nonfiction, or writing from faith. Students submit original work for class critique. Significant writing, reading, and participation are required. May be repeated for credit in a different genre/subgenre. Meets the Arts and Humanities requirement of the Core Curriculum.","EGL 2273 or for non-English majors, instructor consent required - Must be completed prior to taking this course.","Fall and Spring, Each Year","Main Campus, Online, Off-Campus",0,1
EN-1112,"Intro to Eng, CS, & Cyber",2,"The first course in engineering, computer science, and cybersecurity involving design concepts and processes. Two hours lecture-discussion per week. Includes an electrical/mechanical/programming design project. An additional fee may be associated with this course.",None,"Fall Semester, Each Year",Main Campus,0,0
EN-1121,Prod Techniques Lab,1,"Basic training in the areas of welding, metal fabrication, and machine tools. Two 1.5-hour laboratory periods per week. An additional fee may be associated with this course.",None,Upon Sufficient Request,Main Campus,0,0
EN-1141,Intro to CNC Machining,1,Basic training in the areas of CNC machining. Two 1.5-hour laboratory periods per week. An additional fee may be associated with this course.,EN 1112 - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
EN-1151,Introduction to PLCs,1,Basic training in programmable logic controllers (PLCs). Two 1.5-hour laboratory periods per week. An additional fee may be associated with this course.,EN 1112 - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
EN-1221,Concepts in Mech Engr Lab,1,"A gateway into the dynamic world of mechanical engineering, offering students a comprehensive introduction to the fundamental principles, theories, and applications in this diverse field. Designed for both aspiring engineers and those curious about the discipline, this course covers a wide array of topics, including statics, materials science, fluid mechanics, thermodynamics, dynamics, and design principles. Through a combination of theoretical knowledge and hands-on experiments, students will gain a strong foundation in mechanical engineering and its pivotal role in shaping modern technology and innovation. One two-hour laboratory period per week. This lab must be taken with EN 1222. An additional fee may be associated with this course.","MTH 1163 - Must be completed prior to taking this course., EN 1222 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0
EN-1222,Concepts in Mech Engineering,2,"A gateway into the dynamic world of mechanical engineering, offering students a comprehensive introduction to the fundamental principles, theories, and applications in this diverse field. Designed for both aspiring engineers and those curious about the discipline, this course covers a wide array of topics, including statics, materials science, fluid mechanics, thermodynamics, dynamics, and design principles. Through a combination of theoretical knowledge and hands-on experiments, students will gain a strong foundation in mechanical engineering and its pivotal role in shaping modern technology and innovation. Two hours lecture-discussion per week. This lecture must be taken with EN 1221.","MTH 1163 - Must be completed prior to taking this course., EN 1221 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0
EN-1321,Concepts in Elec Engr Lab,1,"An introduction to electrical circuits: Ohm's Law, Kirchoff's Laws, Thevenin and Norton equivalent circuits, superposition, resistors, capacitors, inductors, and operational amplifiers. One two-hour laboratory per week. This lab must be taken with EN 1322. An additional fee may be associated with this course.","MTH 1163 - Must be completed prior to taking this course., EN 1322 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0
EN-1322,Concepts in Elec Engineering,2,"An introduction to electrical circuits: Ohm's Law, Kirchoff's Laws, Thevenin and Norton equivalent circuits, superposition, resistors, capacitors, inductors, and operational amplifiers. Two hours lecture-discussion per week. This lecture must be taken with EN 1321.","MTH 1163 - Must be completed prior to taking this course., EN 1321 - Must be taken at the same time as this course.","Main Campus, Spring Semester, Each Year",Main Campus,0,0
EN-1761,Selected Topics: Eng Lab,1,Basic laboratory training in a special area of engineering. Two 2-hour laboratory periods per week. An additional fee may be associated with this course.,None,Upon Sufficient Request,Main Campus,0,0
EN-3001,Selected Topics Lab,1,A study of a special area of engineering. May also be used as an independent study. An additional fee may be associated with this course.,None,"","",0,0
EN-3222,Collaborative Design Lab,2,Students work on design projects in a team context. Four hours laboratory per week. An additional fee may be associated with this course.,EE 2221 and EE 2222 plus ME 2561 and ME 2562; EE 2211 and EE 2212 plus CS 3363; or CS 2243 and CS 3363 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year",Main Campus,0,0
EN-3271,Cooperative Education,1,Supervised experience in industry where students apply classroom skills to problems specific to their discipline in a professional workplace setting. This course will be offered as an independent study course. An additional fee may be associated with this course.,None,"Main Campus, Upon Sufficient Request, Upon Sufficient Request",Main Campus,0,0
