course_code,course_title,credits_count,description,requisites,time_and_place_list,location,honors,core
ART-1233,Metal Sculpture,3,A beginning sculpture course that concentrates on the development of sculptural ideas through exploration of various techniques and methods of oxy-acetylene and electrical welding and cutting to produce metal sculptures. Understanding relevance of metal sculpture through art movements and leading artists. Emphasis is also placed on the development of a personal visual vocabulary and the cultivation of individual creative expression. An additional fee may be associated with this course.,Instructor consent required - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
ART-1243,Drawing I,3,"An experience in developing visual perception through observation and then translating three-dimensional forms into two-dimensional images. Nature, still-life, and an introduction to figure drawing are included.",None,"Fall and Spring, Each Year",Main Campus,0,0
ART-1253,Woodshop,3,"An introductory woodworking class focuses on the foundations of working wood by hand and machine. Students will develop skills to build useful, beautiful art objects in wood. The course covers the foundations of working wood, hand carving, hand and machine joinery, jig making and finishing, and prepares students to advance their knowledge. An additional fee may be associated with this course.",Instructor consent required - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
ART-1313,Introduction to Film,3,"This is the Film student's introduction to the skills and art of filmmaking. Theories, genres, and the history of cinema are addressed. Students' explorations of the language and grammar of film culminate in writing a screenplay and actual production of their first short form narrative work. An additional fee may be associated with this course.",None,"Fall Semester, Each Year","Main Campus, Off-Campus",0,0
ART-1333,3 Dimensional Design,3,"Students engage in 3d Design as an introduction course to basic three-dimensional material and processes with a focus on the study of concepts, form, and space in relation to digital and physical three-dimensional workflow. Students will learn spatial awareness while working within the mediums of clay, metal, and wood in the physical realm and working with basic 3d software in the digital realm. The 3d Design course is a foundational level course and needed before medium specific courses. An additional fee may be associated with this course.",None,Upon Sufficient Request,Main Campus,0,0
ART-1413,Photo 1: Intro to Photography,3,"A beginner's overview to the digital tools and skills required for the modern art of photography. Emphasis is placed on exposure, composition, and formal aesthetics of the student's photographic vision. The course includes a fundamental study of the photographic process, visual literacy, and artistic criticism necessary for students to advance in study. Visual Arts majors have priority for this course. An additional fee may be associated with this course.",None,"Fall and Spring, Each Year",Main Campus,0,0
ART-2103,Foundations of Film Editing,3,A hands-on experience in film editing using non-linear editing tools. Course work utilizes progressive instruction in theory and techniques applied while working on major projects that will form the basis of student's film portfolio. An additional fee may be associated with this course.,ART 1313 and must be Film major/minor or have instructor consent - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-2123,Cinematography 1,3,"An introduction to digital cinematography through classroom lecture and hands-on workshops, and major film-making assignments. Students gain experience as visual storytellers while learning to create mood and evoke emotion through the combination of cinematic techniques, camera operation, cinematic lighting, light shaping modifiers and controls and sound acquisition. An additional fee may be associated with this course.",ART 1413 and ART 2103 - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,0
ART-2143,Ceramics 2,3,"A concept-driven intermediate-level course focusing on expanding student skills, knowledge and expression with wheel-thrown and hand-built forms. Emphasis placed on clay and glaze testing, and understanding various firing processes. An additional fee may be associated with this course.",ART 1223 - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
ART-2163,Irish Art and Culture,3,"A study of Irish art forms such as painting, sculpture, architecture, and film. Special attention is given to the connection between art forms and Irish history and culture. As part of the Irish Studies Program, the course combines academic course work with visits to important cultural sites in Ireland and lectures given by contemporary Irish artists. Meets the Intercultural Engagement requirement or the Arts and Humanities requirement of the Core Curriculum (cannot meet both core requirements).",None,"Lakeside Manor, Fall, Spring, and Summer, Each Year",Lakeside Manor,0,1
ART-2213,Color Theory & Application,3,"A study of the practical applications of color theories, focusing on the interaction and relativity of color. This course develops a working vocabulary through a series of project-based curriculum while also exploring the psychological, emotional, historic and symbolic effects of color. Special emphasis placed on utilization and application of color to artmaking practices in a coherent and effective manner.",None,"Main Campus, Spring Semester, Even Year",Main Campus,0,0
ART-2233,Survey of Art History,3,"An introduction to the major people and works responsible for our visual heritage. Students will work toward the goal of developing visual literacy in the areas of fine art, design, and architecture. For the on-campus offerings, Visual Arts majors or minors receive priority enrollment; and all others require instructor consent. Meets the Arts and Humanities requirement of the Core Curriculum.",Visual Art majors or minors receive priority enrollment; all others require instructor consent - Must be completed prior to taking this course.,"Main Campus, Fall and Spring, Each Year, Online, Fall B, Spring B, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,1
ART-2253,Intro Graphic Design,3,"An introduction to the world of graphic design. Students will explore Elements of Design, Principles of Design, and Typography and how they are utilized within the problem solving world of graphic design. Students will create work which both communicates and is aesthetically pleasing.",ART 1123 and ART 1133 - Must be completed prior to taking this course.,"Fall and Spring, Each Year",Main Campus,0,0
ART-2263,Intermediate Graphic Design,3,"A continuation of the study of graphic design. Students will build on and continue to explore Elements of Design, Principles of Design and Typography. New themes such as problem solving and design thinking will be introduced. Students will be expected to employ an enhanced level of craftsmanship and presentation techniques. As a class we will aim to complete a real world project from conception to completion for a mission/non-profit organization giving the student a glimpse into the client, audience, designer relationship.",ART 2253 - Must be completed prior to taking this course.,"Fall and Spring, Each Year",Main Campus,0,0
ART-2273,3D Modeling for Design & Ill.,3,"This course is an introduction to digital modeling for designers and illustrators. Working with a 3D computer modeling application, the creation and integration of digital 3D models and 2D design or illustration projects will be explored. An additional fee may be associated with this course.",ART 1123 - Must be completed prior to taking this course.,"Fall and Spring, Each Year",Main Campus,0,0
ART-2333,"Art, Design & Creativity",3,"A study of the theory and practice of the creative process by focusing on key historical influences and modern trends, while incorporating an introduction to the practice of formal art and design principles through hands-on experimentation. This course is designed for students who are not majoring in the visual arts. Meets the Arts and Humanities requirement of the Core Curriculum.",None,"Spring Semester, Each Year",Main Campus,0,1
ART-2413,Photo 2: Intermed Photography,3,"This course begins where Introduction to Photography ended. Concentrating on production practices, this is a comprehensive approach to advanced elements of digital imaging, including scanning, imaging software and printing, digital capture and processing, studio and location lighting, photography as a business, and establishing a workflow. An additional fee may be associated with this course.",ART 1413 - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-2453,Drawing II,3,"An advancing study of drawing, with emphasis on further development of technical skills as well as conceptual visual thinking. Focus is given to the expressive qualities of drawing as finished pieces of art.",ART 1243 - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-2463,Photo 3: Traditional Darkroom,3,A studio class where students refine and expand photographic skills by learning classical silver printing in the traditional photographer's darkroom. Skills include shooting and developing black and white film. An additional fee may be associated with this course.,ART 2413 - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,0
ART-2473,Illustration I,3,"An introduction to illustration, with the focus on the work process from ideation to final art work. Composition, use of color, style, concept and illustration techniques and mediums are explored. Meets the Arts and Humanities requirement of the Core Curriculum.",ART 1243 - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,1
ART-2483,Illustration II,3,This course is a continuation of Illustration I and continues in the exploration of illustration techniques. Emphasis is on spanning assignments to explore the wide range and variety in the illustration industry. Some business practices will also be explored.,ART 2473 - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-2613,Digital Illustration,3,An introduction to creating illustrations on the computer using various image editing software. Various techniques of image manipulation or creation in Photoshop will be covered. Emphasis is given to aesthetic designs and software techniques. Strong drawing skills and digital photography skills recommended. An additional fee may be associated with this course.,ART 1123 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Even Year",Main Campus,0,0
ART-3143,Business of Art,3,"An in-depth study of the business of art. Students will explore the entrepreneurial aspects of freelance business models and operating a business for longevity and profit. Budgets, taxes, financing, negotiating contracts, copyright, and other aspects of an art career are examined.",None,"Main Campus, Fall Semester, Each Year",Main Campus,0,0
ART-3153,Photo 4: Digital Darkroom,3,"A focused look at digital photography processing encompassing capture, color management, device profiling, calibration, and printing. The course provides an advanced study in software image enhancement, retouching, and repairing. All course assignments are professionally printed at the highest digital standards. An additional fee may be associated with this course.",Non-visual FX majors must complete ART 1123 and ART 2413; Visual FX majors must complete ART 2413. - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,0
ART-3173,Portrait Photography,3,"This course will focus on skills required for the professional portrait photographer. Emphases will include application of the principles of design, lighting, composition, color imaging, posing, photo retouching, project workflow, and portfolio presentation. Photographic subjects will include beauty, theatrical, commercial, fashion, and family portrait. Students will be required to furnish their own subjects. An additional fee may be associated with this course.",ART 3153 and ART 3473 - Must be completed prior to taking this course.,"Spring Semester, Odd Year",Main Campus,0,0
ART-3203,Design History,3,"A survey of key movements, trends, people, and innovations throughout the history of design. The course work emphasizes graphic design while advertising, applied arts, industrial design, and architecture are also explored. Students participate in a series of graphic design projects that emulate historic concepts and styles. The assignments also incorporate a unique weekly challenge selected to prepare students for an array of professional experiences. Studying and practicing foundational design will solidify students' own creative foundations for success in numerous creative fields. Meets the Arts and Humanities requirement of the Core Curriculum.",None,"Fall Semester, Each Year","Main Campus, Off-Campus",0,1
ART-3223,Advanced 3D Modeling,3,"This course is a continuation of topics covered in 3D Modeling, ART 2273. This course explores more intermediate and advanced aspects of 3D Modeling. Subjects covered may include: advanced hard surface and organic modeling, character design and advanced texturing techniques. An additional fee may be associated with this course.",ART 2273 - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
ART-3233,Topics in Art History,3,"This class continues the visual literacy begun in Survey of Art History with topics that are beyond the scope of the general survey. Instruction will focus on a variety of specific areas such as modern art, aesthetics and mental health, women in art, etc. Meets the Arts and Humanities requirement of the Core Curriculum.",None,"Spring Semester, Odd Year","Main Campus, Off-Campus",0,1
ART-3253,Color Grading,3,"An introduction to color grading, color correction and color timing for cinema. Students explore how color can enhance and improve storytelling. This course examines processes, theories, workflows and tools available to filmmakers, progressing from initial color grade to final delivery. An additional fee may be associated with this course.",ART 2123 - Must be completed prior to taking this course.,"Fall Semester, Even Year",Main Campus,0,0
ART-3263,Collaborative Design,3,"Advanced topics in the study of Graphic Design with special attention paid to the areas of design research, ideation, prototyping and creative problem-solving. This class works in partnership with our Business and Engineering Departments on campus to give students from each department a true understanding of Collaborative Design.",ART 2263 - Must be completed prior to taking this course.,"Spring Semester, Each Year","Main Campus, Off-Campus",0,0
ART-3283,Graphic Design Abroad,3,"In the context of a study abroad program, this course focuses on the integration of graphic design education and practical hands-in experience in social and cultural settings.",ART 2263 - Must be completed prior to taking this course.,"Off-Campus, Summer, Each Year",Off-Campus,0,0
ART-3293,Sketchbook Journaling,3,"In the context of a study abroad program students are introduced to a foreign cultural environment. Through the practice of careful cultural observations, students create a daily record in their sketchbooks using designs, drawings, photographs, written responses to prompts and observations, and other forms of printed materials. During the study abroad time, students will have opportunities to engage with people who live in the country visited. In preparation for the study abroad program, students will prepare essays and presentations based on cultural research. Meets the Intercultural Engagement requirement of the Core Curriculum.",ART 1243 - Must be completed prior to taking this course.,Upon Sufficient Request,"Main Campus, Off-Campus",0,1
ART-3313,Introduction to UI/UX Design,3,"This class builds on the principles of design presented in Introduction to Graphic Design with an introduction to practicing design within an interactive perspective. Topics covered will include emerging technologies, brand experience, mobile design and app brand development. An additional fee may be associated with this course.",ART 2253 - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,0
ART-3323,Figure Drawing I,3,"A visual study of the human anatomical construction. Emphasis on gesture, form, light source, shadow-mass, and composition.",ART 1243 - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,0
ART-3333,Intermediate UI/UX Design,3,"This class is an extension of the principles and practices presented in Introduction to UI/UX Design. The class furthers knowledge and practice in interactive design for the Web, mobile, and emerging technologies. An additional fee may be associated with this course.",ART 2263 and ART 3313 - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-3353,Sel Top in Studio Art,3,A studio course in which media and techniques are chosen according to student need and departmental specialties. May be repeated for credit when content differs.,None,"Main Campus, Fall Semester
Spring Semester, Odd Year
Even Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,0
ART-3383,Oil Media I,3,"Studio course with demonstrations, group critiques, and individual instruction to assist the student in learning the basic techniques of painting.",ART 1243 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Even Year",Main Campus,0,0
ART-3393,Oil Media II,3,Continuation of the study of oil painting with an emphasis on creativity.,ART 1243 and ART 3383 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Even Year",Main Campus,0,0
ART-3403,Film Theory & Criticism,3,"An examination of the origins and development of film criticism and theory that includes both an analysis of selected motion pictures and the application of theoretical principles. Students learn about various schools of analysis including genre, auteur, feminist, Marxist, and Christian. Emphasis will focus on moving beyond the traditionally myopic view of first/second-world cinema, towards a holistic view that includes third/fourth-world cinema as well. Final output includes conducting seminars and writing critical essays.",ART 1313 and ART 2123 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Each Year, All Other Locations, Fall Semester, Each Year","Main Campus, Off-Campus",0,0
ART-3413,Comic Book/Seq Art,3,"This course introduces the basic principles of storytelling in comic book form. It covers artistic and layout techniques, story structure and character development. This also involves the study of acclaimed graphic novels, and a basic history of the medium. The course is intended for students who have some drawing experience.",ART 1123 and ART 1243 - Must be completed prior to taking this course.,"Spring Semester, Even Year",Main Campus,0,0
ART-3423,Figure Drawing II,3,This course is a continuation of topics covered in Figure Drawing I. The course builds on the acquired knowledge and practice of drawing the figure.,ART 3323 - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-3433,Cinematography 2,3,"This course is the continuation of ART 2123 for Film majors. Topics addressed include: advanced camera rigging, advanced light theory & technique, light metering, set operations, digital-imaging technician (DIT) workflow, lighting plans and design, light and staging on set or location for narrative and documentary. An additional fee may be associated with this course.",ART 2123 - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-3443,2D Animation for Illus,3,"This course introduces the principles of 2D animation on the computer. The course covers the basic principles of animation, tweens, timing, storytelling, storyboarding, and creating a final animation. The student will develop a story from storyboarding to the final animation. This course is intended for students with strong drawing skills.",ART 1123 and ART 1243 - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
ART-3473,Photo 5: Lighting for Photo,3,"This course is designed to build on the introductory lighting course work for Photography majors. Topics addressed include lighting theory, varied lighting equipment, light modeling, and staging on set or location. An additional fee may be associated with this course.",ART 1413 and ART 2413 - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-3483,History of Printmaking,3,"This course examines the history of printmaking and its role as a communication tool in reflecting and shaping the social, political, and economic context of world cultures throughout history. Techniques, innovations, movements, and specific artists/printmakers will be explored. Meets the Arts and Humanities requirement of the Core Curriculum.",None,"Main Campus, Fall Semester, Odd Year",Main Campus,0,1
ART-3493,History of Film,3,"An exploration of the history of cinema and the elements that affect the way stories are told in film, taking us from the beginning of the silent movie era, through the development of sound, the rise of the studio system, and the factors that led to the current blockbuster era. We will be examining the influence that cinematography, direction, and editing can have on the way that a story is told and the messages it conveys.",None,"Main Campus, Fall Semester, Odd Year",Main Campus,0,0
ART-3503,Motion Graphics,3,"An introduction to motion graphics utilizing video and/or animation technology to create the illusion of motion or a transforming appearance. The course will focus primarily on developing a proficiency in Adobe AfterEffects. Additionally, the student will focus on gaining a practical understanding of the role of motion graphics in the Visual FX pipeline. An additional fee may be associated with this course.","ART 1123 and ART 2253 - Must be completed prior to taking this course., ART 3313 or ART 2103 - Recommended to be taken either prior to or at the same time as this course, but is not required.","Fall Semester, Even Year",Main Campus,0,0
ART-3513,Fine Art Photo Abroad,3,"In the context of a study abroad program, an introduction to the historical genres and continuing methodologies of art photography as applicable to the human geography and social situations of the locale. Students gain hands-on experience as they apply various exercises that explore and evaluate artistic photography using creative methods. Projects involve producing photography in the traditions of nature, landscape, social documentary, and others. May substitute for ART 4133 in Visual Arts curricula. An additional fee may be associated with this course.",ART 1413 - Must be completed prior to taking this course.,"Off-Campus, Summer, Each Year",Off-Campus,0,0
ART-3543,Photography Abroad,3,"In the context of a study abroad program, an introduction to the commercial photography and the society of a host country. Students make careful observation of the use and effectiveness of commercial photography and participate in hands-on assignments that attempt to use photography as a commercial influence. Participants often have opportunity to apply the knowledge as they work for a local publication, gaining both quality experience and portfolio enhancement. May substitute for ART 4353 in Visual Arts curricula. Meets the Intercultural Engagement requirement of the Core Curriculum. An additional fee may be associated with this course.",ART 1413 - Must be completed prior to taking this course.,"Summer, Each Year","Main Campus, Off-Campus",0,1
ART-3553,Social Docu Photo Abroad,3,"In the context of a study abroad program, an introduction to documentary photography and the society of a host country. Students make careful observation of the habits and purposes of a people group and document those observations through photography. Participants often have opportunity to apply the knowledge as they work for a local publication and/or ministry, gaining both quality experience and portfolio enhancement. May substitute for ART 4183 in Visual Arts curricula. An additional fee may be associated with this course.",ART 1413 - Must be completed prior to taking this course.,"Summer, Each Year","Main Campus, Off-Campus",0,0
ART-3563,Photo 6: History of Photo,3,"This course examines photographic history and the medium's role in both reflecting and shaping the cultural, social, political, economic, and scientific context of modernity from 1839-now. Emphasis will be placed on early photographic personalities, technologies, and the critical response to the medium. Meets the Arts and Humanities requirement of the Core Curriculum.",ART 1413 - Must be completed prior to taking this course.,"Fall Semester, Odd Year",Main Campus,0,1
ART-3573,Alternative Darkroom I,3,"A studio course which helps students to explore alternative photographic processes. Topics include pinhole photography, large format negatives, wet plate collodion, new cyanotype, gum-bichromate, and platinum-palladium printing. An additional fee may be associated with this course.",ART 2413 and ART 2463 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Even Year",Main Campus,0,0
ART-3583,Cinematic Audio Prod,3,"Advanced techniques of cinematic audio acquisition, dialogue editing, and audio post-production, including surround mixing and output. Students will have the opportunity to work with state of the art technology, receiving hands-on training in aesthetic, technical, and theoretical approaches to sound, emphasizing the recording and mixing sound for motion pictures. An additional fee may be associated with this course.",ART 1313 and ART 2123 - Must be completed prior to taking this course.,"Spring Semester, Even Year",Main Campus,0,0
ART-3623,Advanced Studio I,3,"Advanced supervised study in the student's choice of media. This course will provide the opportunity for focused research, conceptualization, and application in the student's area of interest. Major focus on preparation and portfolio pieces or exhibition.",Junior standing and Visual Arts majors or minors only - Must be completed prior to taking this course.,"Fall Semester, Each Year","Main Campus, Off-Campus",0,0
ART-3633,Advanced Studio II,3,"Continued advanced supervised study in the student's choice of media. This course will provide the opportunity for focused research, conceptualization, and application in the student's area of interest. Major focus on preparation of portfolio pieces or exhibition.",Junior standing and Visual Arts majors or minors only - Must be completed prior to taking this course.,"Spring Semester, Each Year",Main Campus,0,0
ART-3643,Intro to Printmaking,3,"This studio course introduces basic printmaking processes and equipment with equal emphasis on concept and technique. Students are introduced to a variety of printmaking methods such as monotype, relief and intaglio, and various approaches to making and printing plates in each medium. An additional fee may be associated with this course.",ART 1243 - Must be completed prior to taking this course.,"Fall Semester, Each Year",Main Campus,0,0
ART-3653,Screenprinting,3,This studio course introduces the basic concepts and technical skills of fine art screenprinting. The history of screenprinting is also discussed. An additional fee may be associated with this course.,None,"Spring Semester, Each Year",Main Campus,0,0
ART-3663,Water Media I,3,"An introduction to materials and techniques of watercolor and acrylic painting. Form, composition, and content are studied through observation and conceptual work. Traditional materials and techniques as well as experimentation and personal expression are investigated.",None,"Main Campus, Fall Semester, Odd Year",Main Campus,0,0
ART-3673,Water Media II,3,"A studio course that provides the opportunity for more focused, in-depth study of watercolor and acrylic painting processes and techniques. Through more advanced projects, students will develop a deeper understanding of the possibilities of these processes as a creative medium.",ART-3663 - Must be completed prior to taking this course.,"Main Campus, Fall Semester, Odd Year",Main Campus,0,0
ART-3683,Alternative Darkroom II,3,"A studio course building upon the alternative photographic processes experience from Alternative Darkroom I. Topics may include pinhole photography, large format negatives, enhanced practice with wet plate collodion, enhanced practice with gum-bichromate, and new alternative processes like: platinum-palladium printing, carbon printing, etc. An additional fee may be associated with this course.",ART 3573 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Even Year",Main Campus,0,0
ART-3703,Screenwriting,3,"An examination of dramatic writing for film as expressed in professional screenplay format. This course utilizes exercises in dramatic writing: theme, plot, character, dialogue, and images as well as analysis of award-winning screenplays and their cinematic rendering. Integration of these elements into scenes and sequences with expected outcome of a finished screenplay for a short form narrative.",ART 3403 - Must be completed prior to taking this course.,"Spring Semester, Each Year","Main Campus, Off-Campus",0,0
